fecha,producto,peso,precio
2025-05-27 12:50:44.441000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€"
2025-05-27 10:53:23.735000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€"
2025-05-28 09:27:03.244000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-05-29 09:26:21.960000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€"
2025-05-29 09:45:39.795000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€"
2025-05-30 09:25:51.060000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-05-31 09:23:33.588000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-06-01 09:24:00.785000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-06-02 09:27:18.912000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-06-03 09:27:06.215000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€"
2025-06-04 09:26:40.991091,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€"
